ps_code,mp_code,mp_name,boiler_name,boiler_type,creater_time,burn_ability,data_status,open_time,create_time,update_time,stopopen_time,stopopen_status,stopopen_reason,success_time
47BBC3FD1296366577070DB87052D2EA,47BBC3FD129636655E18CE8296FFD894,3#烟囱,3#烟囱,炉排炉,2021-09-16,750,0,2021-12-15 00:00:00,2021-11-24 09:35:42,2023-04-25 12:10:03,,,,2023-04-23 00:00:00
C0B2A439FE4DBF1D2B5096C4F5A35856AF58BFDF6FA7E10B6B04BF68DA5D0D26A1AF36537C8C91F3,C0B2A439FE4DBF1D2B5096C4F5A358560573CD05618C491DCB7ACCE1693E7A48AF1BB304DEFF7291,1号焚烧炉,1号焚烧炉,炉排炉,2021-12-24,500,0,2022-07-29 00:00:00,2022-07-29 09:35:05,2023-04-25 12:10:03,,,,2023-04-23 00:00:00
CFED4CB03A71ABF396E0417C5D794A15,CFED4CB03A71ABF3CC276FF0F99AA0BF,废气排放口,二段式往复机械炉排炉,炉排炉,2018-12-07,300,0,2020-01-01 00:00:00,2020-01-15 10:00:00,2023-04-25 12:10:03,,,,2023-04-23 00:00:00
7E0A8CFB64F58AFA1B20C775AEC1C216,7E0A8CFB64F58AFA39F2EA98AA960332,1号炉排口,1号炉排口,炉排炉,2013-12-21,750,0,2020-01-01 00:00:00,2020-01-15 10:00:00,2023-04-25 12:10:05,,,,2023-04-23 00:00:00
7E0A8CFB64F58AFA1B20C775AEC1C216,7E0A8CFB64F58AFAD7DE1DB4D5243253,2号炉排口,2号炉排口,炉排炉,2013-12-21,750,0,2020-01-01 00:00:00,2020-01-15 10:00:00,2023-04-25 12:10:04,,,,2023-04-23 00:00:00
7E0A8CFB64F58AFA1B20C775AEC1C216,7E0A8CFB64F58AFA77D41183AA36D4B6,3号炉排口,3号炉排口,炉排炉,2013-12-21,750,0,2020-01-01 00:00:00,2020-01-15 10:00:00,2023-04-25 12:10:03,,,,2023-04-23 00:00:00
7E0A8CFB64F58AFA1B20C775AEC1C216,7E0A8CFB64F58AFA404D8B9856F14566,4号炉排口,4号炉排口,炉排炉,2013-12-21,750,0,2020-01-01 00:00:00,2020-01-15 10:00:00,2023-04-25 12:10:04,,,,2023-04-23 00:00:00
B01285E5DE7F5F4653C0F22F43641EFF,B01285E5DE7F5F4638E74DEA4D493A6E,1#排放口DA001,1#焚烧炉,炉排炉,2011-09-15,600,0,2020-01-01 00:00:00,2020-01-15 10:00:00,2023-04-25 12:10:01,,,,2023-04-23 00:00:00
B01285E5DE7F5F4653C0F22F43641EFF,B01285E5DE7F5F46949D82E0D8A7857A,2#排放口DA001,2#焚烧炉,炉排炉,2011-09-15,600,0,2020-01-01 00:00:00,2020-01-15 10:00:00,2023-04-25 12:10:03,,,,2023-04-23 00:00:00
B01285E5DE7F5F4653C0F22F43641EFF,B01285E5DE7F5F46FD074DA3F09E7C31,3#排放口DA001,3#焚烧炉,炉排炉,2011-09-15,600,0,2020-01-01 00:00:00,2020-01-15 10:00:00,2023-04-25 12:10:02,,,,2023-04-23 00:00:00
9223F88E53E01305460EAB1C8D0648D0,9223F88E53E01305A0C5D99368F91E2C,1#烟囱排放口,1#烟囱排放口,炉排炉,2020-09-10,400,0,2021-01-07 00:00:00,2020-12-18 09:35:05,2023-04-25 12:10:04,,,,2023-04-23 00:00:00
9223F88E53E01305460EAB1C8D0648D0,9223F88E53E01305ED5C72549F0B9AC5,2#烟囱排放口,2#烟囱排放口,炉排炉,2020-09-10,400,0,2021-01-07 00:00:00,2020-12-18 09:35:05,2023-04-25 12:10:03,,,,2023-04-23 00:00:00
18B72E1FFFEED6A11DE8D2B6D8975242,18B72E1FFFEED6A108C82A7D305E96AA,1#焚烧炉废气排放口,1#焚烧炉废气排放口,炉排炉,2019-10-09,300,0,2020-04-13 00:00:00,2020-04-07 17:43:21,2023-04-25 12:10:02,,,,2023-04-23 00:00:00
18B72E1FFFEED6A11DE8D2B6D8975242,18B72E1FFFEED6A162990CF853591528,2#焚烧炉废气排放口,2#焚烧炉废气排放口,炉排炉,2020-03-31,300,0,2020-09-10 00:00:00,2020-09-08 09:35:05,2023-04-25 12:10:02,,,,2023-04-23 00:00:00
33956EC417CF46B4FC728CB1B753C08C,33956EC417CF46B49E0436E6DCB1363A,1号焚烧炉排气筒DA001,一号炉排放口,炉排炉,2020-07-27,300,0,2021-03-27 00:00:00,2021-03-26 09:35:08,2023-04-25 12:10:03,,,,2023-04-23 00:00:00
